id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-17659,2000 BC,,Sheveluch eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17660,1700 BC,,Sheveluch eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17665,950 BC,,Sheveluch eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=300270
gvp-17674,2550 BC,,Asamayama eruption (VEI 4),nature,ASIA_EAST,approx,500,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283110
gvp-17676,350-11-15,,Asamayama eruption (VEI 4),nature,ASIA_EAST,approx,10,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283110
gvp-17679,1108-08-29,1108-10,Asamayama eruption (VEI 5),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283110
gvp-17748,1783-05-09,1783-08-05,Asamayama eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283110
gvp-17814,520-06-01,,Harunasan eruption (VEI 4),nature,ASIA_EAST,approx,10,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283122
gvp-17815,550-06-01,,Harunasan eruption (VEI 5),nature,ASIA_EAST,approx,10,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283122
gvp-17819,1120 BC,,Kusatsu-Shiranesan eruption (VEI 4),nature,ASIA_EAST,approx,150,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283120
gvp-17865,3400 BC,,Numazawa eruption (VEI 5),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283151
gvp-17900,1888-07-15,,Bandaisan eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283160
gvp-17948,300,,Zaozan [Zaosan] eruption (VEI 4),nature,ASIA_EAST,approx,200,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=283190
